deposito (linha) x cliente (coluna);
#tipo transporte1;
0;242;1885;1429;1949;1936;2674;2594;2564;2566;2189;2380;2439;2301;2386;2226;2332;2391;2244;2224;2153;2224;2340;2237;2138;2688;3481;3432;736
242;0;1719;1263;1771;1771;2706;2626;2596;2598;2221;2413;2472;2334;2419;2258;2365;2423;2276;2257;2186;2257;2373;2269;2170;2669;3514;3465;513
1885;1719;0;520;291;1085;2106;2614;2654;2603;3008;2996;2872;2988;3003;2966;2132;2464;2211;2268;2436;2473;2110;2485;2387;3576;4127;4078;0
1429;1263;520;0;806;1156;2127;2593;2633;2582;3044;3210;2851;3153;3216;3046;2111;2443;2190;2247;2414;2452;2090;2464;2366;3601;4311;4262;62
1936;1771;1085;1156;800;0;1117;1618;1658;1666;1986;2000;1875;1991;2007;1969;1136;1467;1214;1271;1439;1477;1114;1489;1390;2580;3131;3082;10
2674;2706;2106;2127;1821;1117;0;668;701;549;1097;948;826;1013;1031;1055;449;489;439;489;668;503;428;551;546;1882;2152;2103;0
2237;2269;2485;2464;2192;1489;551;336;334;382;637;541;423;617;635;595;294;203;231;165;221;48;318;0;113;1479;1755;1707;482
#tipo transporte2;
0;225;1866;1929;3026;4135;3812;3340;3376;3468;3857;3618;3512;3726;3736;3803;3349;3486;3269;3207;2987;3291;3362;3255;3135;1E+27;5166;5086;736
225;0;1641;1704;2801;3910;3587;3115;3151;3243;3632;3393;3287;3501;3511;3578;3124;3261;3044;2982;2762;3066;3137;3030;2910;1E+27;4941;4861;513
1866;1641;0;63;1160;2269;4576;4464;4500;4501;4981;4742;4636;4850;4860;4927;4153;4250;4033;3971;4047;4055;4126;4019;3899;1E+27;6290;6210;0
1929;1704;63;0;1097;2206;4513;4401;4437;4438;4918;4679;4573;4787;4797;4864;4090;4187;3970;3908;3984;3992;4063;3956;3836;1E+27;6227;6147;62
3741;3516;4505;4442;3334;2236;2307;2195;2231;2232;2712;2473;2367;2581;2591;2658;1884;1981;1764;1702;1778;1786;1857;1750;1630;1E+27;4021;3941;10
3795;3570;4559;4496;3388;2290;0;1115;1151;1152;1632;1393;1287;1498;1511;1578;464;901;544;605;825;687;450;723;677;1E+27;2941;2861;0
3255;3030;4019;3956;2848;1750;723;445;481;482;962;723;617;828;841;908;334;231;254;192;268;36;273;0;120;1E+27;2271;2191;482
