#fabrica(linha) x deposito (coluna);;;;;;;
#tipo transporte1;;;;;;;
0;242;1885;1429;1936;2674;2237
242;0;1719;1263;1771;2706;2269
1885;1719;0;520;1085;2106;2485
1429;1263;520;0;1156;2127;2464
1936;1771;1085;1156;0;1117;1489
2674;2706;2106;2127;1117;0;551
2237;2269;2485;2464;1489;551;0
#tipo transporte2;;;;;;;
0;225;1866;1929;4135;3812;3255
225;0;1641;1704;3910;3587;3030
1866;1641;0;63;2269;4576;4019
1929;1704;63;0;2206;4513;3956
3741;3516;4505;4442;0;2307;1750
3795;3570;4559;4496;2290;0;723
3255;3030;4019;3956;1750;723;0
