#produto (linha) x planta (coluna);;;;;;;;;;;;;;;;;
#rota1;;;;;;;;;;;;;;;;;
550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550
600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600
600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600
660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660
660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660
700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700
700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700
750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750
750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750
800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800
#rota2;;;;;;;;;;;;;;;;;
550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550;550
600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600
600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600
660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660
660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660;660
700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700
700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700
750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750
750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750;750
800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800;800
#rota3;;;;;;;;;;;;;;;;;
850;850;850;850;850;850;850;850;850;850;850;850;850;850;850;850;850;850
900;900;900;900;900;900;900;900;900;900;900;900;900;900;900;900;900;900
900;900;900;900;900;900;900;900;900;900;900;900;900;900;900;900;900;900
960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;960
960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;960;960
1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050
1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050
1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100
