deposito (linha) x cliente (coluna);;;;;;;;;;;;;;;;;;;;;;;;;;;;
#tipo transporte1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1949;1771;291;806;0;800;1821;2331;2371;2311;2716;2704;2577;2693;2711;2671;1837;2169;1918;1975;2143;2181;1828;2192;2092;3284;3835;3786;0
2566;2598;2603;2582;2311;1666;549;137;169;0;565;413;291;478;496;520;548;184;541;486;508;367;568;382;441;1347;1617;1568;0
2380;2413;2996;3210;2704;2000;948;282;251;413;213;0;126;111;118;175;835;457;746;727;569;568;843;541;640;980;1250;1201;118
2386;2419;3003;3216;2711;2007;1031;365;334;496;219;118;211;123;0;183;848;542;765;740;582;661;856;635;659;980;1174;1125;0
2224;2257;2268;2247;1975;1271;489;488;487;486;743;727;606;724;740;701;181;307;60;0;219;118;160;165;97;650;1862;1813;605
2138;2170;2387;2366;2092;1390;546;443;442;441;657;640;520;638;659;615;237;262;116;97;155;101;212;113;0;1341;1771;1722;602
2688;2669;3576;3601;3284;2580;1882;1216;1187;1347;858;980;1062;869;980;882;1572;1394;1450;650;1227;1507;1547;1479;1341;0;903;934;9.68E+02
#tipo transporte2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3026;2801;1160;1097;0;1098;3405;3293;3329;3330;3810;3571;3465;3679;3689;3756;2982;3079;2862;2800;2876;2884;2955;2848;2728;1.00E+27;5119;5039;0
3468;3243;4501;4438;3330;2232;1152;128;164;0;645;406;300;511;524;591;780;251;700;674;583;465;702;482;602;1.00E+27;1954;1874;0
3618;3393;4742;4679;3571;2473;1393;278;242;406;239;0;106;317;118;185;930;492;850;915;733;706;943;723;843;1.00E+27;1760;1680;118
3736;3511;4860;4797;3689;2591;1511;396;360;524;250;118;224;116;0;196;1048;610;968;1033;851;824;1061;841;961;1.00E+27;1559;1479;0
3207;2982;3971;3908;2800;1702;605;637;673;674;1154;915;809;1020;1033;1100;142;423;62;0;220;84;155;192;72;1.00E+27;2463;2383;605
3135;2910;3899;3836;2728;1630;677;565;601;602;1082;843;737;948;961;1028;214;351;134;72;148;156;227;120;0;1.00E+27;2391;2311;602
2688;2669;3576;3601;3284;2580;1882;1216;1187;1347;858;980;1062;869;980;882;1572;1394;1450;650;1227;1507;1547;1479;1341;0;903;934;9.68E+02
