deposito (linha) x cliente (coluna);;;;;;;;;;;;;;;;;;;;;;;;;;;;
#tipo transporte1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2594;2626;2614;2593;2331;1618;668;0;31;137;432;282;160;347;365;389;549;206;561;488;415;369;594;336;443;1216;1486;1437;128
2189;2221;3008;3044;2716;1986;1097;432;400;565;0;213;278;117;219;48;851;599;762;743;530;664;859;637;657;858;1314;1265;250
2301;2334;2988;3153;2693;1991;1013;347;316;478;117;111;193;0;123;117;832;525;743;724;566;645;840;617;638;869;1200;1151;116
2226;2258;2966;3046;2671;1969;1055;389;358;520;48;175;235;117;183;0;809;557;721;701;543;622;818;595;615;882;1276;1227;196
2391;2423;2464;2443;2169;1467;489;206;212;184;599;457;338;525;542;557;349;0;342;307;329;188;429;203;262;1394;1664;1615;251
2224;2257;2473;2452;2181;1477;503;369;367;367;664;568;450;645;661;622;247;188;153;118;236;0;255;48;101;1507;1784;1735;672
3432;3465;4078;4262;3786;3082;2103;1437;1408;1568;1265;1201;1283;1151;1125;1227;1953;1615;1831;1813;1653;1735;1928;1707;1722;934;60;0;0
#tipo transporte2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3340;3115;4464;4401;3293;2195;1115;0;36;128;517;278;172;383;396;463;652;214;572;637;455;428;665;445;565;1E+27;1826;1746;128
3857;3632;4981;4918;3810;2712;1632;517;481;645;0;239;345;237;250;54;1169;731;1089;1154;972;945;1182;962;1082;1E+27;1680;1600;250
3726;3501;4850;4787;3679;2581;1498;383;347;511;237;317;211;0;116;502;1035;597;955;1020;838;811;1048;828;948;1E+27;1443;1363;116
3803;3578;4927;4864;3756;2658;1578;463;427;591;54;185;291;502;196;0;1115;677;1035;1100;918;891;1128;908;1028;1E+27;1945;1865;196
3486;3261;4250;4187;3079;1981;901;214;250;251;731;492;386;597;610;677;438;0;358;423;669;214;451;231;351;1E+27;2040;1960;251
3291;3066;4055;3992;2884;1786;687;428;464;465;945;706;600;811;824;891;224;214;144;84;304;0;237;36;156;1E+27;2254;2174;672
5086;4861;6210;6147;5039;3941;2861;1746;1710;1874;1600;1680;1574;1363;1479;1865;2398;1960;2318;2383;2201;2174;2411;2191;2311;1E+27;80;0;0
