deposito (linha) x cliente (coluna);;;;;;;;;;;;;;;;;;;;;;;;;;;;
#tipo transporte1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2564;2596;2654;2633;2371;1658;701;31;0;169;400;251;129;316;334;358;548;212;559;487;434;367;571;334;442;1187;1455;1408;164
2439;2472;2872;2851;2577;1875;826;160;129;291;278;126;0;193;211;235;714;338;626;606;448;450;723;423;520;1062;1332;1283;224
2332;2365;2132;2111;1837;1136;449;549;548;548;851;835;714;832;848;809;0;349;130;181;359;247;24;294;237;1572;2002;1953;464
2244;2276;2211;2190;1918;1214;439;561;559;541;762;746;626;743;765;721;130;342;0;60;238;153;103;231;116;1450;1880;1831;544
2153;2186;2436;2414;2143;1439;668;415;434;508;530;569;448;566;582;543;359;329;238;219;0;236;357;221;155;1227;1702;1653;583
2340;2373;2110;2090;1828;1114;428;594;571;568;859;843;723;840;856;818;24;429;103;160;357;255;0;318;212;1547;1977;1928;450
3481;3514;4127;4311;3835;3131;2152;1486;1455;1617;1314;1250;1332;1200;1174;1276;2002;1664;1880;1862;1702;1784;1977;1755;1771;903;0;60;80
#tipo transporte2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3376;3151;4500;4437;3329;2231;1151;36;0;164;481;242;136;347;360;427;688;250;608;673;491;464;701;481;601;1E+27;1790;1710;164
3512;3287;4636;4573;3465;2367;1287;172;136;300;345;106;0;211;224;291;824;386;744;809;627;600;837;617;737;1E+27;1654;1574;224
3349;3124;4153;4090;2982;1884;464;652;688;780;1169;930;824;1035;1048;1115;0;438;80;142;362;224;14;334;214;1E+27;2478;2398;464
3269;3044;4033;3970;2862;1764;544;572;608;700;1089;850;744;955;968;1035;80;358;0;62;282;144;94;254;134;1E+27;2398;2318;544
2987;2762;4047;3984;2876;1778;825;455;491;583;972;733;627;838;851;918;362;669;282;220;0;304;375;268;148;1E+27;2281;2201;583
3362;3137;4126;4063;2955;1857;450;665;701;702;1182;943;837;1048;1061;1128;14;451;94;155;375;237;0;273;227;1E+27;2491;2411;450
5166;4941;6290;6227;5119;4021;2941;1826;1790;1954;1680;1760;1654;1443;1559;1945;2478;2040;2398;2463;2281;2254;2491;2271;2391;1E+27;0;80;80
